Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P53,F670,JetBlue,JFK,JFK,2024-02-07 02:13:32,29,On-time,703,467.72,22,Male,Medium,Family,Premium Economy,4,,Airport Kiosk,8.251697996933824,2.0,64,0,1,Window,63
P54,F1540,Southwest,ATL,ATL,2023-10-11 12:39:05,173,On-time,1071,552.38,42,Male,Medium,Business,Business,2,,Desk,9.182978804945611,5.0,6,0,1,Aisle,120
P55,F1222,Southwest,DFW,SFO,2024-05-16 12:49:40,59,Delayed,898,477.94,54,Female,Low,Emergency,Economy,1,Platinum,Airport Kiosk,6.629082975143351,18.0,18,0,1,Window,2
P56,F1537,United,DFW,DEN,2024-11-18 12:59:18,77,On-time,1149,229.74,18,Male,Medium,Family,Economy,1,,Online,6.849312578193036,15.0,102,0,0,Aisle,100
P57,F1982,United,ORD,ATL,2023-06-28 10:28:56,115,On-time,1188,234.94,41,Male,Low,Leisure,Economy,1,Gold,Online,6.830891012356982,12.0,42,0,0,Window,50
P58,F1995,United,ATL,DEN,2024-09-10 08:04:30,261,On-time,1143,429.73,79,Female,Low,Leisure,Economy,3,Gold,Online,6.098381317944463,3.0,97,0,0,Middle,6
P59,F571,United,SFO,ORD,2024-01-12 19:55:12,157,On-time,974,199.88,31,Male,Medium,Family,Economy,1,,Online,7.10578817589192,2.0,41,0,0,Window,20
P60,F1972,Delta,JFK,DFW,2025-02-01 03:06:41,233,On-time,1440,361.13,25,Male,Low,Emergency,Premium Economy,1,,Online,9.35297363750835,8.0,83,0,0,Window,72
P61,F959,JetBlue,SEA,LAX,2023-10-01 19:16:01,180,Delayed,1101,359.21,18,Female,High,Leisure,Premium Economy,0,,Online,6.454140452958502,51.0,6,0,0,Middle,38
P62,F237,JetBlue,DEN,ATL,2025-04-10 04:15:22,216,On-time,803,422.63,44,Male,High,Family,Economy,1,,Mobile App,7.310260262771093,5.0,92,0,0,Aisle,17
P63,F1,United,DFW,SEA,2024-02-17 13:14:56,168,On-time,1388,250.22,75,Male,Medium,Emergency,Premium Economy,0,,Desk,6.256943948714183,56.0,81,1,0,Aisle,3
P64,F444,United,ATL,LAX,2023-11-13 03:11:59,275,On-time,1242,456.75,24,Female,Low,Business,Premium Economy,2,Gold,Mobile App,8.110558771494754,1.0,95,0,0,Middle,88
P65,F1874,American Airlines,LAX,DEN,2023-07-12 07:10:14,181,On-time,1097,353.16,69,Female,High,Business,Premium Economy,0,,Mobile App,7.7934511507887,4.0,6,0,0,Window,59
P66,F109,Southwest,LAX,JFK,2024-02-19 18:47:19,148,On-time,1452,366.41,76,Male,Medium,Business,Economy,1,Silver,Desk,6.437887431817923,22.0,79,0,0,Window,13
P67,F530,American Airlines,DFW,ORD,2024-12-01 02:09:14,93,Delayed,1698,376.59,56,Male,Low,Business,Economy,1,,Online,7.1447317367436245,2.0,21,0,0,Middle,113
P68,F1668,Southwest,LAX,DEN,2023-06-01 07:19:07,147,On-time,1589,234.32,54,Male,Medium,Business,Premium Economy,3,Silver,Online,7.598127204523381,6.0,99,0,0,Window,8
P69,F751,American Airlines,SEA,ORD,2023-10-02 13:56:12,98,On-time,1058,295.42,53,Female,High,Leisure,Premium Economy,3,,Desk,6.66883294733204,9.0,13,0,0,Window,89
P70,F1731,American Airlines,SEA,DFW,2023-09-30 21:20:58,274,Delayed,1483,179.04,29,Female,Low,Family,Economy,0,Gold,Desk,7.937925459537985,5.0,58,0,1,Aisle,52
P71,F1956,Southwest,SEA,DFW,2023-12-19 05:14:06,182,Delayed,1298,358.52,62,Male,Medium,Emergency,Economy,3,Platinum,Online,7.21812874507512,8.0,51,0,0,Middle,1
P72,F899,JetBlue,LAX,DFW,2023-09-09 10:02:54,229,On-time,595,324.11,34,Female,High,Leisure,Economy,0,,Mobile App,7.406363523511358,19.0,63,0,0,Middle,83
P73,F1648,Delta,DEN,ATL,2024-04-14 18:13:16,205,On-time,1572,382.08,42,Male,Low,Leisure,Economy,1,Silver,Mobile App,8.132216903162963,11.0,66,0,0,Window,91
P74,F771,Delta,DFW,DFW,2024-11-13 20:10:16,282,On-time,1074,353.37,64,Female,Medium,Family,Economy,0,Platinum,Online,8.021697678587671,7.0,116,0,0,Window,110
P75,F826,JetBlue,ATL,SEA,2024-04-11 04:24:58,230,On-time,1585,442.67,29,Male,Low,Business,Premium Economy,0,,Mobile App,9.273415852686266,3.0,80,0,0,Window,59
P76,F1892,JetBlue,ATL,DEN,2023-08-26 15:03:45,174,On-time,1263,273.51,22,Male,Low,Business,Premium Economy,0,Gold,Online,8.266940288674467,0.0,51,0,0,Middle,70
P77,F1831,American Airlines,ORD,DFW,2023-05-06 20:07:42,198,On-time,1022,262.13,58,Male,Medium,Family,Premium Economy,1,,Desk,7.680735420070955,10.0,63,0,0,Aisle,43
P78,F1272,Southwest,ORD,DEN,2025-03-14 20:19:08,176,On-time,859,438.25,27,Female,Medium,Emergency,Economy,1,Silver,Mobile App,6.35132657780758,8.0,32,0,0,Aisle,7
P79,F1993,American Airlines,ATL,ORD,2024-05-06 07:46:24,173,On-time,950,339.86,27,Female,Medium,Leisure,Economy,1,Silver,Mobile App,6.482418166954274,11.0,19,0,0,Window,46
P80,F1742,Southwest,JFK,SEA,2023-12-20 12:20:07,153,On-time,1061,440.78,59,Male,Low,Business,Economy,4,Gold,Online,7.084469802577031,3.0,9,0,1,Middle,34
P81,F1367,Delta,LAX,DEN,2024-06-25 04:17:15,167,On-time,1178,273.8,25,Female,Low,Emergency,Business,0,Gold,Online,8.052804535546333,24.0,21,0,0,Middle,77
P82,F740,American Airlines,DEN,DEN,2024-04-12 04:12:50,201,On-time,1042,538.42,51,Female,High,Leisure,Premium Economy,0,Platinum,Desk,8.40813891833299,22.0,64,0,1,Middle,80
P83,F36,United,DFW,DFW,2024-12-01 06:57:06,193,On-time,1434,316.76,48,Male,Medium,Family,Economy,0,Gold,Desk,6.7445373245701195,4.0,14,0,0,Middle,35
P84,F1141,United,JFK,ATL,2024-03-18 03:44:08,256,On-time,895,285.22,40,Male,Low,Emergency,Premium Economy,1,,Desk,6.950024108038055,7.0,23,0,1,Aisle,49
P85,F582,American Airlines,ORD,LAX,2024-09-23 20:10:54,227,On-time,1566,353.57,67,Male,High,Leisure,Economy,1,,Desk,7.4381727852199795,8.0,119,0,0,Window,103
P86,F660,Delta,ATL,DFW,2024-11-01 18:01:48,172,On-time,749,451.07,30,Male,Low,Family,Economy,2,Silver,Airport Kiosk,6.489436894343303,4.0,69,0,0,Middle,3
P87,F832,United,SFO,DFW,2025-01-30 14:45:42,243,On-time,611,294.39,66,Male,Low,Emergency,Economy,2,,Online,7.868526620378084,16.0,47,0,0,Window,1
P88,F1776,Southwest,LAX,LAX,2023-11-24 02:48:41,175,Delayed,1262,270.98,39,Male,Medium,Business,Economy,2,,Airport Kiosk,7.058205943170028,23.0,27,1,0,Window,5
P89,F495,American Airlines,JFK,DEN,2023-06-21 13:52:16,145,Delayed,1093,409.72,20,Male,High,Family,Economy,1,Gold,Airport Kiosk,8.14168931189527,5.0,22,0,0,Aisle,53
P90,F405,United,ORD,SEA,2024-08-23 02:59:58,200,On-time,1180,334.44,57,Male,Medium,Business,Economy,1,,Online,7.7797543849297,0.0,115,0,0,Aisle,105
P91,F60,Southwest,ORD,SFO,2024-06-10 10:46:31,160,Cancelled,1101,286.77,40,Female,Medium,Emergency,Economy,2,Platinum,Mobile App,6.367327943967874,4.0,99,0,1,Aisle,3
P92,F1659,Southwest,DFW,DFW,2023-12-17 10:50:47,121,On-time,836,457.72,37,Female,Low,Business,Economy,1,Gold,Mobile App,7.216697209786226,1.0,29,0,0,Aisle,53
P93,F589,JetBlue,DFW,LAX,2024-03-18 22:45:40,197,On-time,999,327.74,55,Female,Medium,Leisure,Premium Economy,0,,Mobile App,7.826750965925062,32.0,20,0,0,Window,92
P94,F116,United,SFO,JFK,2023-10-01 13:07:14,249,On-time,1468,347.0,55,Male,Low,Business,Economy,2,,Online,6.531042954891898,4.0,28,0,0,Window,62
P95,F159,Delta,ORD,SEA,2024-05-12 05:39:11,250,Delayed,1436,258.18,62,Male,Low,Leisure,Economy,0,Silver,Online,6.216022624784156,2.0,101,0,0,Middle,17
P96,F1291,JetBlue,ATL,ATL,2023-05-04 14:50:44,254,On-time,1216,412.23,74,Male,Low,Emergency,Business,0,,Desk,8.552257715726462,7.0,108,0,0,Middle,89
P97,F1829,Southwest,LAX,DEN,2023-10-11 22:09:48,111,Delayed,921,400.97,36,Female,Medium,Emergency,Economy,1,Gold,Mobile App,6.618038860055713,23.0,21,0,0,Middle,43
P98,F561,JetBlue,LAX,LAX,2024-11-07 22:46:15,158,Cancelled,1275,274.51,37,Male,Medium,Family,Economy,0,Silver,Online,5.637941831438538,15.0,90,0,0,Aisle,33
P99,F1104,American Airlines,SFO,ORD,2025-03-24 07:35:17,209,Delayed,1142,364.28,56,Male,Medium,Leisure,Business,1,Silver,Mobile App,8.706109832462372,5.0,111,0,1,Aisle,73
P100,F619,American Airlines,DEN,DEN,2023-07-06 05:31:49,131,On-time,1361,265.69,73,Female,Low,Emergency,Economy,1,,Mobile App,6.820547654481979,47.0,85,0,0,Middle,61
P101,F146,Southwest,SEA,SEA,2023-05-15 01:27:24,221,On-time,889,492.83,25,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.633224673026445,10.0,38,0,0,Aisle,99
P102,F1655,American Airlines,DEN,JFK,2024-08-02 17:46:21,215,On-time,1439,435.41,73,Male,Low,Emergency,First,3,Silver,Online,7.28721637810988,22.0,101,0,0,Window,13
P103,F542,Delta,SFO,SFO,2023-09-17 07:54:36,194,On-time,877,204.43,64,Female,High,Leisure,Economy,1,,Mobile App,8.537997118174067,1.0,12,0,0,Middle,94
P104,F121,United,LAX,ORD,2023-09-29 01:35:30,125,Delayed,666,261.46,59,Male,High,Leisure,Economy,1,,Mobile App,7.567316024699198,28.0,36,0,1,Window,47
P105,F1320,Delta,DEN,SEA,2024-04-03 17:13:32,244,On-time,1305,235.2,51,Female,High,Emergency,First,4,Silver,Airport Kiosk,8.549017593189275,1.0,57,0,0,Window,14
P106,F866,Southwest,DFW,DFW,2024-11-10 04:44:00,205,On-time,1827,350.71,42,Male,Medium,Leisure,Economy,1,Silver,Desk,7.02962937324226,5.0,89,0,0,Window,71
P107,F292,Southwest,ATL,JFK,2025-04-04 15:26:34,161,On-time,1390,195.0,75,Male,High,Emergency,Economy,4,Silver,Airport Kiosk,7.625877564011341,1.0,4,0,0,Aisle,77
P108,F1328,American Airlines,LAX,ORD,2024-02-22 20:02:26,104,On-time,901,220.59,30,Male,Medium,Family,Economy,2,,Airport Kiosk,7.6008382379461885,4.0,116,0,0,Middle,86
P109,F910,American Airlines,ATL,DEN,2024-07-27 12:19:36,157,Delayed,1073,305.67,53,Male,Medium,Leisure,Economy,1,,Mobile App,7.699526838287436,1.0,104,0,0,Window,120
P110,F15,American Airlines,DEN,ORD,2023-10-27 12:24:58,202,On-time,1303,260.88,47,Female,Medium,Emergency,Economy,1,Platinum,Desk,7.8659014350711765,15.0,50,0,0,Middle,61
P111,F249,United,DEN,DFW,2023-09-09 23:52:14,131,On-time,1592,311.31,74,Female,Medium,Family,Economy,1,,Mobile App,6.96392018680196,1.0,60,1,0,Aisle,39
P112,F967,United,SFO,JFK,2024-10-12 21:37:15,105,On-time,1518,342.85,29,Female,High,Business,Premium Economy,3,Silver,Airport Kiosk,8.95164695760196,10.0,21,0,1,Middle,84
P113,F894,Southwest,SFO,ATL,2024-03-08 01:25:44,242,On-time,950,506.77,62,Male,Medium,Family,Business,5,Platinum,Airport Kiosk,8.638926526883917,3.0,79,0,0,Aisle,79
P114,F1596,Delta,ATL,DEN,2025-03-14 14:00:04,133,Cancelled,925,329.48,29,Male,Medium,Emergency,Economy,2,Gold,Desk,7.317073776288238,7.0,8,0,0,Middle,108
P115,F1029,JetBlue,SEA,SEA,2024-04-26 02:25:06,261,On-time,1094,249.95,63,Female,High,Business,Premium Economy,0,,Online,8.35861447300333,6.0,55,0,0,Aisle,81
P116,F590,JetBlue,JFK,SFO,2024-07-07 02:14:05,146,On-time,1255,455.03,71,Female,Medium,Business,Business,0,Silver,Airport Kiosk,8.541879759556116,5.0,66,0,0,Middle,110
P117,F1014,American Airlines,LAX,DFW,2023-05-26 10:35:42,156,On-time,1107,300.33,54,Male,Low,Emergency,Economy,1,Gold,Desk,8.096841668078826,3.0,58,1,0,Aisle,52
P118,F472,Delta,SFO,ATL,2023-11-16 03:31:58,145,Delayed,979,363.47,67,Female,Medium,Leisure,Economy,2,Silver,Airport Kiosk,8.66969655690077,0.0,24,1,0,Window,23
P119,F1697,American Airlines,JFK,SEA,2023-12-07 12:28:21,204,Delayed,985,151.12,26,Male,High,Leisure,Economy,1,Gold,Desk,7.169398930622968,9.0,17,0,0,Window,25
P120,F1043,United,SEA,LAX,2023-12-28 10:40:54,155,On-time,832,344.5,51,Male,Medium,Family,Economy,1,,Mobile App,7.46192130319505,2.0,27,0,1,Aisle,88
P121,F1965,American Airlines,DFW,LAX,2024-11-26 21:32:09,237,On-time,1775,384.83,25,Male,Medium,Emergency,Economy,0,Silver,Mobile App,7.314886298167475,6.0,67,0,1,Aisle,59
P122,F1475,United,ATL,ORD,2024-04-29 05:54:23,140,On-time,1306,128.22,79,Male,Medium,Leisure,Premium Economy,3,Silver,Mobile App,7.577120449441406,6.0,101,0,0,Window,108
P123,F1349,United,SEA,ORD,2023-07-31 01:34:01,117,On-time,1450,260.06,61,Male,Medium,Family,Premium Economy,1,,Desk,8.783021715811614,3.0,9,0,0,Aisle,40
P124,F539,American Airlines,DFW,DEN,2024-10-27 11:28:23,252,On-time,1480,546.65,32,Male,Low,Family,Economy,1,,Online,7.420505242428742,1.0,43,0,0,Aisle,28
P125,F1332,Southwest,LAX,SEA,2023-12-05 10:17:05,208,Cancelled,1130,333.91,29,Male,Medium,Leisure,Economy,1,,Online,6.3987533599101,12.0,98,0,0,Aisle,14
P126,F940,American Airlines,JFK,SEA,2024-06-22 04:31:59,264,Delayed,1103,177.53,45,Male,Low,Family,Economy,2,,Mobile App,6.994458930247724,5.0,99,0,0,Window,44
P127,F913,United,ATL,ATL,2025-04-11 17:28:39,94,On-time,1395,402.89,45,Female,Low,Leisure,Economy,3,,Online,7.878719542560641,22.0,117,0,0,Middle,64
P128,F1539,American Airlines,SEA,ORD,2024-02-16 15:15:12,200,On-time,1294,428.48,42,Female,Low,Emergency,Business,3,Platinum,Mobile App,8.91314727981923,7.0,7,0,0,Middle,88
P129,F1437,JetBlue,SFO,ORD,2023-07-19 21:38:07,164,On-time,1125,316.42,62,Male,High,Emergency,Economy,0,Silver,Online,7.439032629641317,0.0,39,0,0,Aisle,70
P130,F345,JetBlue,SFO,LAX,2024-04-03 23:05:55,189,On-time,837,473.92,31,Female,High,Emergency,Business,3,,Online,6.942743465425415,11.0,86,0,0,Aisle,8
P131,F349,JetBlue,LAX,LAX,2023-05-11 17:08:11,191,On-time,1288,532.86,29,Female,Low,Business,Economy,1,Platinum,Mobile App,8.235989460836127,6.0,104,0,1,Window,87
P132,F747,United,JFK,SFO,2023-07-08 15:21:17,255,On-time,1044,382.4,43,Female,Low,Family,Economy,1,Platinum,Desk,7.425274457991406,1.0,2,0,0,Window,0
P133,F1572,American Airlines,LAX,SFO,2024-12-26 00:15:55,132,On-time,935,294.25,19,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.64894774343074,13.0,78,0,0,Aisle,107
P134,F33,Delta,ORD,SFO,2024-07-19 18:07:21,168,On-time,1251,374.44,77,Male,High,Family,Economy,2,,Airport Kiosk,7.111633231569406,8.0,7,0,1,Aisle,7
P135,F1202,JetBlue,DFW,ORD,2024-01-28 10:20:31,143,On-time,1496,245.25,57,Female,Medium,Family,Economy,2,,Online,7.947929213435185,27.0,104,0,0,Aisle,87
P136,F1104,JetBlue,LAX,SFO,2024-12-27 06:16:44,217,On-time,839,330.76,60,Male,High,Leisure,Premium Economy,0,Silver,Mobile App,7.382779133100767,15.0,23,0,0,Middle,62
P137,F1672,Southwest,DEN,SFO,2025-04-11 15:06:57,188,On-time,1352,476.48,76,Male,High,Leisure,Economy,2,,Desk,7.183246267409614,12.0,100,0,0,Window,10
P138,F36,Delta,LAX,DEN,2024-10-19 15:45:52,286,On-time,1903,339.92,71,Male,Low,Leisure,Economy,0,,Desk,7.964946685136116,3.0,119,0,0,Window,114
P139,F101,JetBlue,ORD,DFW,2023-05-21 20:12:18,152,On-time,1072,285.5,26,Male,High,Emergency,Business,1,,Airport Kiosk,7.769187414003768,19.0,118,0,0,Window,80
P140,F1632,Southwest,ATL,ATL,2023-12-09 20:31:32,172,On-time,1369,298.4,51,Male,Medium,Business,Business,1,Silver,Desk,7.073823229850237,37.0,22,0,0,Window,7
P141,F367,Delta,DFW,SEA,2023-06-28 15:51:01,252,On-time,615,168.01,68,Female,Medium,Leisure,Premium Economy,1,,Online,8.103582136835373,3.0,53,1,0,Middle,34
